1,1,2,3.96
2,1,3,3.94
3,1,4,3.94
4,1,5,3.78
5,1,6,3.71
6,1,7,3.75
7,6,7,3.74
8,11,7,3.74
9,16,7,3.74
10,21,7,3.79
11,26,7,3.74
12,31,7,3.75
13,36,7,3.75
14,41,7,3.73
15,46,7,3.7
16,51,7,3.71
17,56,7,3.79
18,61,7,3.77
19,66,7,3.71
20,71,7,3.7
21,76,7,3.69
22,81,7,3.75
23,86,7,3.77
24,91,7,3.74
25,96,7,3.7
26,101,7,3.73
27,106,7,3.68
28,111,7,3.71
29,116,7,3.73
30,121,7,3.72
31,126,7,3.77
32,131,7,3.74
33,136,7,3.69
34,141,7,3.75
35,146,7,3.74
36,151,7,3.7
37,156,7,3.74
38,161,7,3.72
39,166,7,3.8
40,171,7,3.74
41,176,7,3.71
42,181,7,3.74
43,186,7,3.67
44,191,7,3.67
45,196,7,3.76
46,201,7,3.75
47,206,7,3.7
48,211,7,3.77
49,216,7,3.69
50,221,7,3.74
51,226,7,3.7
52,231,7,3.72
53,236,7,3.73
54,241,7,3.67
55,246,7,3.69
56,251,7,3.7
57,256,7,3.72
58,261,7,3.77
59,266,7,3.74
60,271,7,3.69
61,276,7,3.72
62,281,7,3.72
63,286,7,3.77
64,291,7,3.67
65,296,7,3.67
66,301,7,3.75
67,306,7,3.69
68,311,7,3.71
69,316,7,3.78
70,321,7,3.69
71,326,7,3.71
72,331,7,3.73
73,336,7,3.7
74,341,7,3.71
75,346,7,3.69
76,351,7,3.65
77,356,7,3.69
78,361,7,3.76
79,366,7,3.74
80,371,7,3.77
81,376,7,3.68
82,381,7,3.77
83,386,7,3.74
84,391,7,3.72
85,396,7,3.77
86,401,7,3.73
87,406,7,3.74
88,411,7,3.69
89,416,7,3.76
90,421,7,3.73
91,426,7,3.73
92,431,7,3.76
93,436,7,3.73
94,441,7,3.71
95,446,7,3.75
96,451,7,3.8
97,456,7,3.74
98,461,7,3.71
99,466,7,3.69
100,471,7,3.74
101,476,7,3.73
102,481,7,3.71
103,486,7,3.75
104,491,7,3.77
105,496,7,3.74
106,501,7,3.73
107,506,7,3.74
108,511,7,3.75
109,516,7,3.75
110,521,7,3.73
111,526,7,3.71
112,531,7,3.73
113,536,7,3.68
114,541,7,3.71
115,546,7,3.79
116,551,7,3.72
117,556,7,3.77
118,561,7,3.72
119,566,7,3.73
120,571,7,3.79
121,576,7,3.73
122,581,7,3.73
123,586,7,3.8
124,591,7,3.75
125,596,7,3.73
126,601,7,3.73
127,606,7,3.79
128,611,7,3.67
129,616,7,3.7
130,621,7,3.73
131,626,7,3.74
132,631,7,3.74
133,636,7,3.71
134,641,7,3.73
135,646,7,3.72
136,651,7,3.71
137,656,7,3.72
138,661,7,3.72
139,666,7,3.72
140,671,7,3.74
141,676,7,3.67
142,681,7,3.68
143,686,7,3.71
144,691,7,3.77
145,696,7,3.77
146,701,7,3.71
147,706,7,3.76
148,711,7,3.75
149,716,7,3.68
0,1,1,4.67
1,1,2,4.75
2,1,3,4.72
3,1,4,4.71
4,1,5,3.8
5,1,6,4.12
6,1,7,4.31
